name,price,image,url,crawl_date
Khay hành lý (phần khay dưới),1.167.480,https://danang.toyota.com.vn/uploads/others/khay-hanh-ly-phan-khay-duoi-1728372187.png,https://danang.toyota.com.vn/uploads/others/khay-hanh-ly-phan-khay-duoi-1728372187.png,2026-05-14 09:26:08
Ốp bậc lên xuống 4 cửa,1.654.400,https://danang.toyota.com.vn/uploads/others/op-bac-len-xuong-4-cua-1728372345.png,https://danang.toyota.com.vn/uploads/others/op-bac-len-xuong-4-cua-1728372345.png,2026-05-14 09:26:08
Khay hành lý,2.290.680,https://danang.toyota.com.vn/uploads/others/khay-hanh-ly-1728357178.png,https://danang.toyota.com.vn/uploads/others/khay-hanh-ly-1728357178.png,2026-05-14 09:26:08
Khay đựng giày,1.583.280,https://danang.toyota.com.vn/uploads/others/khay-dung-giay-1728357254.png,https://danang.toyota.com.vn/uploads/others/khay-dung-giay-1728357254.png,2026-05-14 09:26:08
Bộ hỗ trợ khẩn cấp (PC022-0K008),3.393.360,https://danang.toyota.com.vn/uploads/others/bo-ho-tro-khan-cap-1728357336.jpg,https://danang.toyota.com.vn/uploads/others/bo-ho-tro-khan-cap-1728357336.jpg,2026-05-14 09:26:08
Bơm lốp điện tử (PC557-12001-S1),1.564.920,https://danang.toyota.com.vn/uploads/others/bom-lop-dien-tu-1728357417.jpg,https://danang.toyota.com.vn/uploads/others/bom-lop-dien-tu-1728357417.jpg,2026-05-14 09:26:08
Bọc vô lăng (đen và chỉ xám),525.960,https://danang.toyota.com.vn/uploads/others/boc-vo-lang-den-va-chi-xam-1728357512.jpg,https://danang.toyota.com.vn/uploads/others/boc-vo-lang-den-va-chi-xam-1728357512.jpg,2026-05-14 09:26:08
Bọc vô lăng (đen và xám),525.960,https://danang.toyota.com.vn/uploads/others/boc-vo-lang-den-va-xam-1728357751.jpg,https://danang.toyota.com.vn/uploads/others/boc-vo-lang-den-va-xam-1728357751.jpg,2026-05-14 09:26:08
Khay hành lý gập gọn,1.119.960,https://danang.toyota.com.vn/uploads/others/khay-hanh-ly-gap-gon-1728357931.png,https://danang.toyota.com.vn/uploads/others/khay-hanh-ly-gap-gon-1728357931.png,2026-05-14 09:26:08
Lưới khoang hành lý,308.880,https://danang.toyota.com.vn/uploads/others/luoi-khoang-hanh-ly-1728357950.jpg,https://danang.toyota.com.vn/uploads/others/luoi-khoang-hanh-ly-1728357950.jpg,2026-05-14 09:26:08
Bạt phủ xe (PC372-0D002),1.769.040,https://danang.toyota.com.vn/uploads/others/bat-phu-xe-1728357978.jpg,https://danang.toyota.com.vn/uploads/others/bat-phu-xe-1728357978.jpg,2026-05-14 09:26:08
Sạc không dây,3.789.500,https://danang.toyota.com.vn/uploads/others/sac-khong-day-1728358509.jpg,https://danang.toyota.com.vn/uploads/others/sac-khong-day-1728358509.jpg,2026-05-14 09:26:08
Phim dán chống nước kính chiếu hậu ngoài (1 bộ 2 miếng),473.040,https://danang.toyota.com.vn/uploads/others/phim-dan-chong-nuoc-kinh-chieu-hau-ngoai-1-bo-2-mieng-1728358544.jpg,https://danang.toyota.com.vn/uploads/others/phim-dan-chong-nuoc-kinh-chieu-hau-ngoai-1-bo-2-mieng-1728358544.jpg,2026-05-14 09:26:09
